g_ptsx,g_ptsy
1.69E-04,0.20577872
1.70E-04,0.20422279
1.71E-04,0.2027869
1.71E-04,0.20149674
1.72E-04,0.20012862
1.73E-04,0.19883065
1.73E-04,0.19746581
1.74E-04,0.19616602
1.75E-04,0.19480234
1.75E-04,0.19350173
1.76E-04,0.19213866
1.77E-04,0.1908376
1.77E-04,0.18947488
1.78E-04,0.18817355
1.79E-04,0.18681102
1.79E-04,0.18550957
1.80E-04,0.18414708
1.81E-04,0.18284568
1.82E-04,0.18148304
1.82E-04,0.18018193
1.83E-04,0.17881879
1.84E-04,0.17751851
1.84E-04,0.17615396
1.85E-04,0.17485625
1.86E-04,0.17348694
1.86E-04,0.17230562
1.87E-04,0.17117623
1.88E-04,0.17008428
1.88E-04,0.16894799
1.89E-04,0.16785904
1.90E-04,0.16672115
1.91E-04,0.16563315
1.91E-04,0.16449465
1.92E-04,0.16340707
1.93E-04,0.16226829
1.93E-04,0.16118089
1.94E-04,0.16004199
1.95E-04,0.15895466
1.95E-04,0.15781573
1.96E-04,0.15672841
1.97E-04,0.15558948
1.97E-04,0.15450214
1.98E-04,0.15336325
1.99E-04,0.15227586
2.00E-04,0.15113702
2.00E-04,0.15004962
2.01E-04,0.14891069
2.02E-04,0.14782364
2.02E-04,0.14668321
2.03E-04,0.14561135
2.04E-04,0.14463496
2.04E-04,0.1437424
2.05E-04,0.14279216
2.06E-04,0.14189625
2.06E-04,0.14094728
2.07E-04,0.14005069
2.08E-04,0.13910216
2.08E-04,0.13820525
2.09E-04,0.13725698
2.10E-04,0.13635985
2.11E-04,0.13541177
2.11E-04,0.13451446
2.12E-04,0.13356655
2.13E-04,0.13266908
2.13E-04,0.13172133
2.14E-04,0.1308237
2.15E-04,0.12987611
2.15E-04,0.12897831
2.16E-04,0.1280309
2.17E-04,0.12713292
2.17E-04,0.1261857
2.18E-04,0.12528751
2.19E-04,0.12434051
2.20E-04,0.12344216
2.20E-04,0.12249481
2.21E-04,0.12160445
2.22E-04,0.1207877
2.22E-04,0.12005823
2.23E-04,0.11927108
2.24E-04,0.11853783
2.24E-04,0.11775218
2.25E-04,0.11701812
2.26E-04,0.11623299
2.26E-04,0.11549856
2.27E-04,0.1147137
2.28E-04,0.11397907
2.29E-04,0.11319438
2.29E-04,0.1124596
2.30E-04,0.11167503
2.31E-04,0.11094015
2.31E-04,0.11015566
2.32E-04,0.10942073
2.33E-04,0.10863626
2.33E-04,0.10790134
2.34E-04,0.10711683
2.35E-04,0.10638199
2.35E-04,0.10559734
2.36E-04,0.10486272
2.37E-04,0.10407773
2.37E-04,0.10334366
2.38E-04,0.10255771
2.39E-04,0.1018255
2.40E-04,0.10103505
2.40E-04,0.10035027
2.41E-04,0.09971096
2.42E-04,0.09911108
2.42E-04,0.09847041
2.43E-04,0.09787181
2.44E-04,0.09723038
2.44E-04,0.09663225
2.45E-04,0.09599053
2.46E-04,0.09539258
2.46E-04,0.09475075
2.47E-04,0.09415286
2.48E-04,0.093511
2.49E-04,0.09291311
2.49E-04,0.09227128
2.50E-04,0.09167333
2.51E-04,0.09103158
2.51E-04,0.09043354
2.52E-04,0.0897919
2.53E-04,0.08919373
2.53E-04,0.08855225
2.54E-04,0.08795389
2.55E-04,0.08731263
2.55E-04,0.08671399
2.56E-04,0.08607309
2.57E-04,0.08547398
2.57E-04,0.08483373
2.58E-04,0.08423363
2.59E-04,0.08359513
2.60E-04,0.08299105
2.60E-04,0.08239566
2.61E-04,0.08192004
2.62E-04,0.08139349
2.62E-04,0.08091598
2.63E-04,0.0803908
2.64E-04,0.07991243
2.64E-04,0.07938785
2.65E-04,0.07890904
2.66E-04,0.0783848
2.66E-04,0.07790571
2.67E-04,0.07738171
2.68E-04,0.07690241
2.69E-04,0.0763786
2.69E-04,0.07589913
2.70E-04,0.07537547
2.71E-04,0.07489586
2.71E-04,0.07437233
2.72E-04,0.07389259
2.73E-04,0.07336919
2.73E-04,0.07288933
2.74E-04,0.07236605
2.75E-04,0.07188608
2.75E-04,0.0713629
2.76E-04,0.07088282
2.77E-04,0.07035975
2.78E-04,0.06987956
2.78E-04,0.06935663
2.79E-04,0.06887624
2.80E-04,0.06835367
2.80E-04,0.06787226
2.81E-04,0.0673583
2.82E-04,0.06696284
2.82E-04,0.06654117
2.83E-04,0.06615843
2.84E-04,0.06573525
2.84E-04,0.06535298
2.85E-04,0.06492962
2.86E-04,0.06454742
2.86E-04,0.06412405
2.87E-04,0.06374183
2.88E-04,0.0633185
2.89E-04,0.06293622
2.89E-04,0.06251295
2.90E-04,0.06213061
2.91E-04,0.06170742
2.91E-04,0.061325
